Δϵ_n,Ω_d,N
0.5269160276929129,0.17,20.0
0.47063058342531155,0.17,20.0
0.5141522914044679,0.17,20.0
0.49789400230264447,0.17,20.0
0.993421687394574,0.18,20.0
0.0,0.18,20.0
0.9746914658790614,0.18,20.0
0.038359235118294865,0.18,20.0
0.9270597057385448,0.18,20.0
0.914911695294142,0.18,20.0
0.11577517336803617,0.18,20.0
0.850178502739201,0.18,20.0
0.8116128818610937,0.18,20.0
0.7771938538378182,0.18,20.0
0.7020819113983339,0.18,20.0
0.6868117641988096,0.18,20.0
0.6661641084855718,0.18,20.0
0.4082137117227693,0.18,20.0
0.5639382451744225,0.18,20.0
0.44733478178137204,0.18,20.0
0.5268961018609654,0.18,20.0
0.47087297722558974,0.18,20.0
0.5141651050117715,0.18,20.0
0.49380366151951943,0.18,20.0
0.0,0.19,20.0
0.0037889814318986526,0.19,20.0
0.9749813296570313,0.19,20.0
0.04224164007184561,0.19,20.0
0.931416779934008,0.19,20.0
0.9187300858331438,0.19,20.0
0.1156804383539965,0.19,20.0
0.8502323545589401,0.19,20.0
0.8153926430122089,0.19,20.0
0.784734884093747,0.19,20.0
0.706054733083722,0.19,20.0
0.6905857054818194,0.19,20.0
0.669929603371879,0.19,20.0
0.41206515556501233,0.19,20.0
0.5685269472473853,0.19,20.0
0.4574130591810696,0.19,20.0
0.5306640189142657,0.19,20.0
0.47491820391974676,0.19,20.0
0.5179676322444264,0.19,20.0
0.49326867597668217,0.19,20.0
0.0,0.2,20.0
0.0008486800582711007,0.2,20.0
0.9683743456262534,0.2,20.0
0.03939981213968502,0.2,20.0
0.9290752838040381,0.2,20.0
0.9158207832259666,0.2,20.0
0.10864696828085996,0.2,20.0
0.8433548511327957,0.2,20.0
0.8124426229826457,0.2,20.0
0.7857477921163492,0.2,20.0
0.7033082094612495,0.2,20.0
0.6876295510238986,0.2,20.0
0.6669645460446114,0.2,20.0
0.40919069293065824,0.2,20.0
0.566429603112699,0.2,20.0
0.4610814577555439,0.2,20.0
0.527701514635471,0.2,20.0
0.47224799933053674,0.2,20.0
0.5150416088613627,0.2,20.0
0.48577079915622395,0.2,20.0
0.0,0.21,20.0
0.002242622157366647,0.21,20.0
0.9636945988583486,0.21,20.0
0.03865465555273617,0.21,20.0
0.9288561223622875,0.21,20.0
0.9150046916599978,0.21,20.0
0.1034957727387058,0.21,20.0
0.8383668696012707,0.21,20.0
0.8115837258464221,0.21,20.0
0.789053221223611,0.21,20.0
0.7026632448074106,0.21,20.0
0.6867642048311219,0.21,20.0
0.666089840293455,0.21,20.0
0.4084112280355743,0.21,20.0
0.5664671183690426,0.21,20.0
0.5268294929248661,0.21,20.0
0.46715783232351504,0.21,20.0
0.47168326777835295,0.21,20.0
0.5142079390264276,0.21,20.0
0.48013095395641214,0.21,20.0
0.0,0.22,20.0
0.00548495707135499,0.22,20.0
0.9597024382174262,0.22,20.0
0.03876322897553486,0.22,20.0
0.9295163550424348,0.22,20.0
0.915038869824674,0.22,20.0
0.09898402843604243,0.22,20.0
0.8340254401758163,0.22,20.0
0.8115730103849239,0.22,20.0
0.7934079557347987,0.22,20.0
0.7028768978063556,0.22,20.0
0.6867467257408522,0.22,20.0
0.6660625451393218,0.22,20.0
0.40848381955020074,0.22,20.0
0.5673965530603421,0.22,20.0
0.526805012707721,0.22,20.0
0.4719810679829762,0.22,20.0
0.5142236814476061,0.22,20.0
0.47439608207475953,0.22,20.0
0.47510621853314544,0.22,20.0
0.0,0.23,20.0
0.008878358115512186,0.23,20.0
0.9555525766270052,0.23,20.0
0.03887685236435867,0.23,20.0
0.930207302634247,0.23,20.0
0.9150746376671517,0.23,20.0
0.09426318716357351,0.23,20.0
0.8294818531247107,0.23,20.0
0.8115617965365112,0.23,20.0
0.7979630279300207,0.23,20.0
0.7031004884490305,0.23,20.0
0.6867284336868265,0.23,20.0
0.6660339805177757,0.23,20.0
0.4085597874261557,0.23,20.0
0.5683692286185366,0.23,20.0
0.5267793939127833,0.23,20.0
0.4698479332529792,0.23,20.0
0.47229271997797084,0.23,20.0
0.5142401560699333,0.23,20.0
0.48194426321120837,0.23,20.0
0.0,0.24,20.0
0.012422860197715435,0.24,20.0
0.9512485031069237,0.24,20.0
0.038995525763838634,0.24,20.0
0.9309289660627973,0.24,20.0
0.9151119952118105,0.24,20.0
0.08933339559660913,0.24,20.0
0.8247360775744894,0.24,20.0
0.8115500842843746,0.24,20.0
0.8027181368306134,0.24,20.0
0.703334016820647,0.24,20.0
0.68670932862822,0.24,20.0
0.6660041463381361,0.24,20.0
0.40863913169992705,0.24,20.0
0.5693851466412809,0.24,20.0
0.5267526364653932,0.24,20.0
0.4643561194566337,0.24,20.0
0.4726182238947405,0.24,20.0
0.5142573629089916,0.24,20.0
0.48979901342202276,0.24,20.0
0.0,0.25,20.0
0.01611849955467526,0.25,20.0
0.03911924915063081,0.25,20.0
0.946793795825432,0.25,20.0
0.9316813462049613,0.25,20.0
0.91515094243964,0.25,20.0
0.08419481615355912,0.25,20.0
0.8197880813492063,0.25,20.0
0.811537873642391,0.25,20.0
0.8076729680152923,0.25,20.0
0.7035774829300335,0.25,20.0
0.6866894105979445,0.25,20.0
0.6659730425867123,0.25,20.0
0.4087218523474816,0.25,20.0
0.5704443087060556,0.25,20.0
0.4586307992560396,0.25,20.0
0.5267247404139004,0.25,20.0
0.4729575797865622,0.25,20.0
0.5142753019522072,0.25,20.0
0.4979568773872024,0.25,20.0
0.0,0.26,20.0
0.01996531387162459,0.26,20.0
0.03924802253570764,0.26,20.0
0.9421921154873942,0.26,20.0
0.9324644440200831,0.26,20.0
0.9151914793532606,0.26,20.0
0.07884762820430519,0.26,20.0
0.814637831146009,0.26,20.0
0.8128271937648904,0.26,20.0
0.8115251646093293,0.26,20.0
0.7038308868268665,0.26,20.0
0.6866686795938959,0.26,20.0
0.6659406693322861,0.26,20.0
0.40880794937512693,0.26,20.0
0.5715467165032707,0.26,20.0
0.4526719956638086,0.26,20.0
0.5266957057646485,0.26,20.0
0.4733107877513726,0.26,20.0
0.5142939732010222,0.26,20.0
0.506414312582776,0.26,20.0
0.0,0.27,20.0
0.023963342224578466,0.27,20.0
0.03938184593441779,0.27,20.0
0.937447198572155,0.27,20.0
0.9332782605117125,0.27,20.0
0.9152336059578923,0.27,20.0
0.07329202911337229,0.27,20.0
0.8181804730303182,0.27,20.0
0.8115119571821254,0.27,20.0
0.8092852925342283,0.27,20.0
0.7040942285673406,0.27,20.0
0.6866471356094623,0.27,20.0
0.6659070266278412,0.27,20.0
0.4088974227929131,0.27,20.0
0.5726923717972594,0.27,20.0
0.4464797325409569,0.27,20.0
0.5266655325149303,0.27,20.0
0.5151676948584208,0.27,20.0
0.5143133766585568,0.27,20.0
0.4736778478958118,0.27,20.0
0.0,0.28,20.0
0.02811262506521789,0.28,20.0
0.0395207193690017,0.28,20.0
0.9341227967308307,0.28,20.0
0.9325628506671096,0.28,20.0
0.06752823533880642,0.28,20.0
0.9152773222629796,0.28,20.0
0.8237324514452752,0.28,20.0
0.8114982513544158,0.28,20.0
0.8037304300034688,0.28,20.0
0.7043675082170607,0.28,20.0
0.6866247786273437,0.28,20.0
0.6658721142608296,0.28,20.0
0.40899027261687104,0.28,20.0
0.5738812764295209,0.28,20.0
0.44005403458864184,0.28,20.0
0.5266342206091695,0.28,20.0
0.5242133239913042,0.28,20.0
0.5143335123306713,0.28,20.0
0.4740587603382428,0.28,20.0
0.0,0.29,20.0
0.03241320410151238,0.29,20.0
0.03966464279359172,0.29,20.0
0.9349980536800988,0.29,20.0
0.9275429397688737,0.29,20.0
0.06155648343348408,0.29,20.0
0.9153226282344673,0.29,20.0
0.8294827612360143,0.29,20.0
0.8114840471511786,0.29,20.0
0.7979732069107703,0.29,20.0
0.70465072576512,0.29,20.0
0.6866016087102185,0.29,20.0
0.66583593253372,0.29,20.0
0.4090864988024123,0.29,20.0
0.5751134322211746,0.29,20.0
0.43339492723330336,0.29,20.0
0.533547429049388,0.29,20.0
0.5266017701846534,0.29,20.0
0.5143543801949734,0.29,20.0
0.4744535251187757,0.29,20.0
0.0,0.3,20.0
0.03686512259879432,0.3,20.0
0.03981361633459063,0.3,20.0
0.9359040326208072,0.3,20.0
0.05537703148049178,0.3,20.0
0.9223913901052208,0.3,20.0
0.9153695239476567,0.3,20.0
0.8354310215562207,0.3,20.0
0.8114693445194776,0.3,20.0
0.7920135858641565,0.3,20.0
0.704943881399502,0.3,20.0
0.6865776257284192,0.3,20.0
0.6657984810711395,0.3,20.0
0.4091861014577856,0.3,20.0
0.5763888412856142,0.3,20.0
0.42650243694347545,0.3,20.0
0.5431661740792796,0.3,20.0
0.5265681809921073,0.3,20.0
0.5143759803000373,0.3,20.0
0.4748621424876961,0.3,20.0
0.0,0.31,20.0
0.03996763991288976,0.31,20.0
0.041468424854399555,0.31,20.0
0.0489901596867236,0.31,20.0
0.9368407345904555,0.31,20.0
0.9171121752283367,0.31,20.0
0.9154180093470219,0.31,20.0
0.8415768379923958,0.31,20.0
0.811454143499341,0.31,20.0
0.7858515282665681,0.31,20.0
0.7052469750742367,0.31,20.0
0.6865528297793175,0.31,20.0
0.6657597600766482,0.31,20.0
0.40928908050860063,0.31,20.0
0.577707505537021,0.31,20.0
0.4193765906990403,0.31,20.0
0.5530656628401901,0.31,20.0
0.5265334532080665,0.31,20.0
0.5143983126095223,0.31,20.0
0.4752846124521342,0.31,20.0
0.0,0.32,20.0
0.04012671353277886,0.32,20.0
0.04239617188221312,0.32,20.0
0.046223156562089196,0.32,20.0
0.9378081607717219,0.32,20.0
0.915468084429854,0.32,20.0
0.9117093121417225,0.32,20.0
0.8479198029668437,0.32,20.0
0.8114384440935056,0.32,20.0
0.7794869947773215,0.32,20.0
0.7055600068404236,0.32,20.0
0.6865272208710504,0.32,20.0
0.6657197696919762,0.32,20.0
0.5790694270662075,0.32,20.0
0.409395435954386,0.32,20.0
0.4120174163737528,0.32,20.0
0.5632419443089024,0.32,20.0
0.5264975868645705,0.32,20.0
0.514421377121353,0.32,20.0
0.47572093512276886,0.32,20.0
0.0,0.33,20.0
0.03559539652472116,0.33,20.0
0.040290837212718644,0.33,20.0
0.9388063124040182,0.33,20.0
0.05112936469727197,0.33,20.0
0.9155197492023079,0.33,20.0
0.9061868550844909,0.33,20.0
0.854459495660765,0.33,20.0
0.8114222462980912,0.33,20.0
0.772919945289959,0.33,20.0
0.7058829767669148,0.33,20.0
0.6865007989926972,0.33,20.0
0.6656785097474947,0.33,20.0
0.4044249426264918,0.33,20.0
0.5804746080505073,0.33,20.0
0.40950516780711266,0.33,20.0
0.5736910175561155,0.33,20.0
0.5264605819216802,0.33,20.0
0.5144451738391992,0.33,20.0
0.4761711106307336,0.33,20.0
0.0,0.34,20.0
0.028588187710750668,0.34,20.0
0.040460010928225765,0.34,20.0
0.9398351907106235,0.34,20.0
0.05618709741773037,0.34,20.0
0.9155730036430295,0.34,20.0
0.9005488894907361,0.34,20.0
0.8611954819553285,0.34,20.0
0.8114055501291799,0.34,20.0
0.7661503389332616,0.34,20.0
0.7062158848748741,0.34,20.0
0.6864735641853958,0.34,20.0
0.6656359805058571,0.34,20.0
0.3965991988087809,0.34,20.0
0.584408836483912,0.34,20.0
0.5819230506794841,0.34,20.0
0.40961827604047624,0.34,20.0
0.5264224384783986,0.34,20.0
0.5144697027488565,0.34,20.0
0.47663513905910493,0.34,20.0
0.0,0.35,20.0
0.02137492647029343,0.35,20.0
0.04063423477298028,0.35,20.0
0.9408947971043569,0.35,20.0
0.061396404254944914,0.35,20.0
0.9156278478056468,0.35,20.0
0.8947995264172948,0.35,20.0
0.8681273146676969,0.35,20.0
0.8113883555491797,0.35,20.0
0.7591781343773376,0.35,20.0
0.7065587313223681,0.35,20.0
0.6864455163556078,0.35,20.0
0.6655921815601527,0.35,20.0
0.38854021517093273,0.35,20.0
0.595391314692633,0.35,20.0
0.5834147573644491,0.35,20.0
0.4097347607329727,0.35,20.0
0.5263831563361587,0.35,20.0
0.5144949638847905,0.35,20.0
0.47711302063620015,0.35,20.0
0.0,0.36,20.0
0.013956021539312913,0.36,20.0
0.04081350874917683,0.36,20.0
0.9419851329199238,0.36,20.0
0.0667573358095177,0.36,20.0
0.9156842816854083,0.36,20.0
0.8889428966524859,0.36,20.0
0.8752545332906178,0.36,20.0
0.8113706625623931,0.36,20.0
0.7520032896399148,0.36,20.0
0.7069115161641565,0.36,20.0
0.6864166555154916,0.36,20.0
0.6655471130795856,0.36,20.0
0.6066343296708768,0.36,20.0
0.3802480225597948,0.36,20.0
0.5849497304657328,0.36,20.0
0.4098546218817045,0.36,20.0
0.5263427355369108,0.36,20.0
0.5145209572435525,0.36,20.0
0.47760475548403053,0.36,20.0
0.0,0.37,20.0
0.006331910529892737,0.37,20.0
0.040997832864490324,0.37,20.0
0.943106199537705,0.37,20.0
0.9157423052808993,0.37,20.0
0.07226994385531105,0.37,20.0
