cross_n,Δnn,Δ,K,ϵ_1,ϵ_2,N
1.0,0.22673319638493084,0.0,1.0,0.03,3.57,200.0
1.0,0.22894527534569242,0.0,1.0,0.03,3.64,200.0
1.0,0.23113618770758215,0.0,1.0,0.03,3.71,200.0
1.0,0.23330652901016258,0.0,1.0,0.03,3.78,200.0
1.0,0.23545686751677586,0.0,1.0,0.03,3.85,200.0
1.0,0.2375877459055733,0.0,1.0,0.03,3.92,200.0
1.0,0.23969968283304155,0.0,1.0,0.03,3.99,200.0
1.0,0.24179317438075998,0.0,1.0,0.03,4.06,200.0
1.0,0.24386869539517164,0.0,1.0,0.03,4.13,200.0
1.0,0.2459267007291217,0.0,1.0,0.03,4.2,200.0
1.0,0.24796762639349978,0.0,1.0,0.03,4.27,200.0
1.0,0.24999189062649663,0.0,1.0,0.03,4.34,200.0
1.0,0.25199989488712404,0.0,1.0,0.03,4.41,200.0
1.0,0.25399202477937166,0.0,1.0,0.03,4.48,200.0
1.0,0.25596865091262444,0.0,1.0,0.03,4.55,200.0
1.0,0.2579301297034675,0.0,1.0,0.03,4.62,200.0
1.0,0.25987680412360703,0.0,1.0,0.03,4.69,200.0
1.0,0.26180900439818444,0.0,1.0,0.03,4.76,200.0
1.0,0.2637270486583958,0.0,1.0,0.03,4.83,200.0
3.0,0.48592886161470616,0.0,1.0,0.03,4.83,200.0
1.0,0.26563124355193324,0.0,1.0,0.03,4.9,200.0
3.0,0.45551480009676126,0.0,1.0,0.03,4.9,200.0
1.0,0.26752188481450645,0.0,1.0,0.03,4.97,200.0
3.0,0.42771128446275597,0.0,1.0,0.03,4.97,200.0
1.0,0.26939925780554574,0.0,1.0,0.03,5.04,200.0
3.0,0.4024556459949622,0.0,1.0,0.03,5.04,200.0
1.0,0.27126363801038167,0.0,1.0,0.03,5.11,200.0
3.0,0.37967332110673624,0.0,1.0,0.03,5.11,200.0
1.0,0.27311529151197433,0.0,1.0,0.03,5.18,200.0
3.0,0.35927767414863965,0.0,1.0,0.03,5.18,200.0
1.0,0.2749544754338551,0.0,1.0,0.03,5.25,200.0
3.0,0.3411698476723828,0.0,1.0,0.03,5.25,200.0
1.0,0.2767814383568066,0.0,1.0,0.03,5.32,200.0
3.0,0.3252388226012357,0.0,1.0,0.03,5.32,200.0
1.0,0.2785964207108975,0.0,1.0,0.03,5.39,200.0
3.0,0.3113618876761173,0.0,1.0,0.03,5.39,200.0
1.0,0.28039965514469145,0.0,1.0,0.03,5.46,200.0
3.0,0.2994056921249175,0.0,1.0,0.03,5.46,200.0
1.0,0.28219136687333446,0.0,1.0,0.03,5.53,200.0
3.0,0.28922798274494355,0.0,1.0,0.03,5.53,200.0
1.0,0.2839717740067904,0.0,1.0,0.03,5.6,200.0
3.0,0.28068001626390426,0.0,1.0,0.03,5.6,200.0
1.0,0.28574108785978325,0.0,1.0,0.03,5.67,200.0
3.0,0.2736095145221782,0.0,1.0,0.03,5.67,200.0
1.0,0.287499513244434,0.0,1.0,0.03,5.74,200.0
3.0,0.26786392610130605,0.0,1.0,0.03,5.74,200.0
1.0,0.289247248747067,0.0,1.0,0.03,5.81,200.0
3.0,0.26329370158023124,0.0,1.0,0.03,5.81,200.0
1.0,0.2909844869899345,0.0,1.0,0.03,5.88,200.0
3.0,0.25975529349422644,0.0,1.0,0.03,5.88,200.0
1.0,0.29271141487896557,0.0,1.0,0.03,5.95,200.0
3.0,0.25711364991311214,0.0,1.0,0.03,5.95,200.0
1.0,0.29442821383855744,0.0,1.0,0.03,6.02,200.0
3.0,0.25524406131015454,0.0,1.0,0.03,6.02,200.0
1.0,0.2961350600339685,0.0,1.0,0.03,6.09,200.0
3.0,0.2540333180499772,0.0,1.0,0.03,6.09,200.0
1.0,0.2978321245822855,0.0,1.0,0.03,6.16,200.0
3.0,0.253380218890225,0.0,1.0,0.03,6.16,200.0
1.0,0.29951957375278226,0.0,1.0,0.03,6.23,200.0
3.0,0.2531955274374198,0.0,1.0,0.03,6.23,200.0
1.0,0.30119756915686224,0.0,1.0,0.03,6.3,200.0
3.0,0.25340150144181806,0.0,1.0,0.03,6.3,200.0
1.0,0.30286626792885585,0.0,1.0,0.03,6.37,200.0
3.0,0.2539311238390738,0.0,1.0,0.03,6.37,200.0
1.0,0.30452582289774455,0.0,1.0,0.03,6.44,200.0
3.0,0.2547271522562049,0.0,1.0,0.03,6.44,200.0
1.0,0.30617638275041514,0.0,1.0,0.03,6.51,200.0
3.0,0.25574108295517917,0.0,1.0,0.03,6.51,200.0
1.0,0.3078180921873326,0.0,1.0,0.03,6.58,200.0
3.0,0.25693210191345983,0.0,1.0,0.03,6.58,200.0
1.0,0.3094510920703897,0.0,1.0,0.03,6.65,200.0
3.0,0.25826607383123346,0.0,1.0,0.03,6.65,200.0
