E_n,ϵ_2_by_K,N
418.8776798740728,1.5,40.0
460.8774365296618,1.5,40.0
504.877224879652,1.5,40.0
550.877039650787,1.5,40.0
598.8768766223669,1.5,40.0
648.8767323840566,1.5,40.0
700.876604156019,1.5,40.0
754.8764896863281,1.5,40.0
810.8763870852557,1.5,40.0
868.876299743172,1.5,40.0
928.8762232224104,1.5,40.0
990.876698914793,1.5,40.0
1054.8771058424325,1.5,40.0
1120.9148124290618,1.5,40.0
1188.932898606434,1.5,40.0
1260.2535994415498,1.5,40.0
1332.5465577415123,1.5,40.0
1425.6483889514443,1.5,40.0
1503.611267441206,1.5,40.0
-2.8583166194990492,1.6,40.0
-2.637324339285103,1.6,40.0
1.3158421357786705,1.6,40.0
4.8702221422847565,1.6,40.0
10.818219176889787,1.6,40.0
18.780732996395837,1.6,40.0
28.761130419018908,1.6,40.0
40.74961318287658,1.6,40.0
54.742312387994964,1.6,40.0
70.7374047582108,1.6,40.0
88.73395124641814,1.6,40.0
108.73143058729958,1.6,40.0
130.72953526431257,1.6,40.0
154.72807457336214,1.6,40.0
180.72692524071013,1.6,40.0
208.72600474632503,1.6,40.0
238.7252561795432,1.6,40.0
270.7246392693575,1.6,40.0
304.7241248740281,1.6,40.0
340.7236914864356,1.6,40.0
378.7233229550291,1.6,40.0
418.72300696036604,1.6,40.0
460.7227339740644,1.6,40.0
504.72249653324985,1.6,40.0
550.7222887258166,1.6,40.0
598.7221058193061,1.6,40.0
648.721943989797,1.6,40.0
700.7218001199813,1.6,40.0
754.721671718337,1.6,40.0
810.7215566491443,1.6,40.0
868.7214625859002,1.6,40.0
928.7213805669311,1.6,40.0
990.7222117957842,1.6,40.0
1054.7228342953163,1.6,40.0
1120.7775255308172,1.6,40.0
1188.800859562303,1.6,40.0
1260.4675589428025,1.6,40.0
1332.8023904806141,1.6,40.0
1428.2001591270287,1.6,40.0
1506.2872199589524,1.6,40.0
-3.158969757493281,1.7,40.0
-2.9723281683720626,1.7,40.0
1.2318039628856647,1.7,40.0
4.716013819081356,1.7,40.0
10.664681340614372,1.7,40.0
18.622833882070204,1.7,40.0
28.6010170750004,1.7,40.0
40.58816294162445,1.7,40.0
54.580001874970954,1.7,40.0
70.57451040726988,1.7,40.0
88.57064339912348,1.7,40.0
108.56781956953317,1.7,40.0
130.56569553495746,1.7,40.0
154.56405814221097,1.7,40.0
180.56276950672387,1.7,40.0
208.5617372769638,1.7,40.0
238.56089773438782,1.7,40.0
270.560205775088,1.7,40.0
304.559628750931,1.7,40.0
340.55914256148765,1.7,40.0
378.5587291042111,1.7,40.0
418.5583745693349,1.7,40.0
460.55806827433724,1.7,40.0
504.5578018514158,1.7,40.0
550.5575686709068,1.7,40.0
598.5573634255067,1.7,40.0
648.5571818269658,1.7,40.0
700.5570203787879,1.7,40.0
754.5568763527364,1.7,40.0
810.5567473089471,1.7,40.0
868.5566484971379,1.7,40.0
928.5565622611836,1.7,40.0
990.5579399836254,1.7,40.0
1054.558857268343,1.7,40.0
1120.636196778059,1.7,40.0
1188.6657828275954,1.7,40.0
1260.733218260983,1.7,40.0
1333.1127284532276,1.7,40.0
1430.8767231557397,1.7,40.0
1509.0892851218928,1.7,40.0
-3.483330829253724,1.8,40.0
-3.3260638180488775,1.8,40.0
1.144030318184555,1.8,40.0
4.552138226243277,1.8,40.0
10.502600433314555,1.8,40.0
18.455756043494578,1.8,40.0
28.431472075589856,1.8,40.0
40.41712699949525,1.8,40.0
54.40800618574952,1.8,40.0
70.40186308699708,1.8,40.0
88.39753440268693,1.8,40.0
108.39437198186478,1.8,40.0
130.39199245768745,1.8,40.0
154.3901576400609,1.8,40.0
180.38871334301916,1.8,40.0
208.3875562424464,1.8,40.0
238.3866150197579,1.8,40.0
270.3858391746054,1.8,40.0
304.38519214287976,1.8,40.0
340.38464692747226,1.8,40.0
378.38418324632164,1.8,40.0
418.383785624592,1.8,40.0
460.3834420901737,1.8,40.0
504.38314326404634,1.8,40.0
550.382881714658,1.8,40.0
598.3826514922532,1.8,40.0
648.3824477901736,1.8,40.0
700.3822666878284,1.8,40.0
754.3821052510248,1.8,40.0
810.3819606420733,1.8,40.0
868.3818609784179,1.8,40.0
928.3817727987425,1.8,40.0
990.3839661338113,1.8,40.0
1054.385277904098,1.8,40.0
1120.4922036444714,1.8,40.0
1188.529140194496,1.8,40.0
1261.0546860858917,1.8,40.0
1333.481662088214,1.8,40.0
1433.6725766285808,1.8,40.0
1512.011767685881,1.8,40.0
-3.830973423845528,1.9,40.0
-3.698722754816449,1.9,40.0
1.0519699153282502,1.9,40.0
4.378450209542637,1.9,40.0
10.332126921487312,1.9,40.0
18.27955733439771,1.9,40.0
28.252535704836987,1.9,40.0
40.23653459516273,1.9,40.0
54.2263475536287,1.9,40.0
70.21948027044179,1.9,40.0
88.2146383447144,1.9,40.0
108.21109941871237,1.9,40.0
130.2084357385654,1.9,40.0
154.20638130908497,1.9,40.0
180.2047638344284,1.9,40.0
208.2034677970918,1.9,40.0
238.202413430834,1.9,40.0
270.20154423579976,1.9,40.0
304.2008192935461,1.9,40.0
340.20020838556013,1.9,40.0
378.1996888056438,1.9,40.0
418.1992432268135,1.9,40.0
460.1988582423499,1.9,40.0
504.19852334821076,1.9,40.0
550.1982302206562,1.9,40.0
598.1979721950834,1.9,40.0
648.1977438890643,1.9,40.0
700.1975409093785,1.9,40.0
754.1973601948208,1.9,40.0
810.1971983529677,1.9,40.0
868.1971046216515,1.9,40.0
928.1970181056466,1.9,40.0
990.200397665363,1.9,40.0
1054.2022273321602,1.9,40.0
1120.3470954520228,1.9,40.0
1188.392571991669,1.9,40.0
1261.4357174469642,1.9,40.0
1333.9129192957143,1.9,40.0
1436.5823603717781,1.9,40.0
1515.0491502175382,1.9,40.0
-4.201495095506258,2.0,40.0
-4.090474516204499,2.0,40.0
0.955052613823165,2.0,40.0
4.194788252989819,2.0,40.0
10.153430504409759,2.0,40.0
18.094298883397883,2.0,40.0
28.06425073395448,2.0,40.0
40.046416695316196,2.0,40.0
54.03504950417991,2.0,40.0
70.02738043797814,2.0,40.0
88.02197012154762,2.0,40.0
108.01801413858318,2.0,40.0
130.01503563887238,2.0,40.0
154.01273786258687,2.0,40.0
180.01092847058638,2.0,40.0
208.00947844676696,2.0,40.0
238.0082986709363,2.0,40.0
270.00732599885487,2.0,40.0
304.00651468894654,2.0,40.0
340.0058309539961,2.0,40.0
378.0052494020128,2.0,40.0
418.00475065374866,2.0,40.0
460.0043197127357,2.0,40.0
504.00394482815597,2.0,40.0
550.003616687483,2.0,40.0
598.0033278338011,2.0,40.0
648.0030722485457,2.0,40.0
700.0028450129905,2.0,40.0
754.0026430976459,2.0,40.0
810.0024622901532,2.0,40.0
868.0023854832782,2.0,40.0
928.002305991715,2.0,40.0
990.0073716870588,2.0,40.0
